Activin A	BDNF	BMP2	BMP4	BMP6	CD40L	CXCL12	EGF	FGF2	GCSF	GDF11	GDNF	GMCSF	HGF	HMGB1	IFN1	IFNG	IFNL	IGF1	IL10	IL12	IL13	IL15	IL17A	IL1A	IL1B	IL2	IL21	IL22	IL27	IL3	IL36	IL4	IL6	INS	LIF	LTA	MCSF	NO	NRG1	OSM	PGE2	TGFA	TGFB1	TGFB2	TGFB3	TNFA	TRAIL	TWEAK	VEGFA	WNT3A
ABCA1	0.4622817532661747	-0.00344319279262	-0.0270651377366801	0.3189127885569505	-0.12183467132310669	0.160826310343066	0.0915685126384833	-0.02460914482902385	-0.018077122482615254	0.1971613424679317	0.5376567859427994	0.0386682925000001	0.0415303752170053	0.10594529864033886	0.3278724999999998	0.0315654590000011	-0.13425225811226021	-0.03240105467284855	-0.0422140577671361	0.2488452508750001	0.1119366160459147	0.0309617917767102	0.0	-0.08150991412357475	0.00290276687499945	0.2260958015233117	-0.0585249999999994	-0.01225623637137525	0.0482117800000017	0.0119673049058208	-0.6995218501034177	-0.2086573959310267	-0.4667001017498593	0.03954901988442845	-0.3453251650856255	0.44011625	0.2659960867591654	1.306354544691116	-0.0612764668935001	0.1371556046491333	-0.057021766329740695	0.1848160719999994	-0.0156280697207751	0.09681982834875755	-0.1345673705679795	0.26760982649999976	0.0737969940332634	-0.02803777147595675	-0.0861730926179055	-0.0429755000000007	-0.1707712757538557
ABCA3	-0.2482793671027608	0.0535000000000001	-0.0739767199935004	-0.2947533910073297	-0.0457434357630295	-0.0463842863170596	0.0366646679999993	-0.03008919833770115	-0.21013104792777515	-0.0567728508003595	0.042166633453621	-0.02828472500000015	-0.0440255823287041	-0.01315231991687885	0.0224154999999992	-0.0402140516410503	-0.0229099999999995	-0.06413042225000025	0.0541074053394505	0.0216205604982955	-0.0157848827710482	0.0	-0.02057184975388755	0.03213337808208645	-0.03461262500000015	-0.0714418435817456	0.0895844068365612	0.0206158969385157	-0.01038332771337445	-0.1962966215439205	-0.0210957788745576	-0.0388192488905278	0.00121196785134535	-0.01302751136105005	0.01816374874976255	-0.0830346504871712	-0.06257675453106351	0.2268695056010204	-0.0213123603260099	-0.1203704509850149	0.00881100715154565	-0.0755045112722499	-0.0004487220293846999	0.00123074449999995	-0.1187036550000009	0.0100137462500002	0.0050634917462616495	0.0072116870513792	0.1000774661218686	-0.0808420699042979	-0.0296278823770852
ABCA5	0.0575109599969305	0.0773145660950209	0.0166331478820005	0.0690592197984021	-0.05699156252473075	0.0202589325000008	0.0363593439711384	-0.0513857247163582	-0.0383040934389147	-0.0625634796183387	-0.1877387815820484	-0.05405504249999985	-0.08591719934914441	-0.11004222535015346	-0.0485865000000007	-0.0567690959324973	-0.057095361	-0.01988769649999965	-0.0365036876685684	-0.07205909610259284	-0.0479417737892502	-0.0063782737309505	-0.14830603512826762	-0.03990006350000015	0.01407392424999905	0.0357611409048193	-0.0605650000000004	-0.093305004480434	-0.22152623545442304	-0.1613178098262606	0.0527458636993962	0.0445655524334442	-0.02688945450000045	-0.0017673330330630994	-0.15128494498230965	0.2109473215000008	-0.16946909868682716	0.24399747475212674	0.0086471719269369	-0.0333218611406991	-0.052923721538620405	-0.1509559773040343	-0.1314558709590506	-0.05044738762543825	-0.0583178315000001	0.03732926191039525	0.0919635461475043	0.02559398929845	-0.0088471101744103	-0.0754212937888016	0.041663715832050655
ABCA8	-0.02372624778296955	0.0	-0.0285926035938803	0.026365809095230952	0.0110074371670699	-0.0024665458749999003	0.0117085440000002	-0.0005662412774931	-0.0155520527470145	0.0095742075873201	-0.0927197666711694	0.0419214579208522	-0.0155956149316973	-0.036210071582752856	-0.0494164999999977	0.0	0.0	0.0211242424999991	-0.0792266911505751	0.023953796142095002	0.0193950381758596	-0.0357498411250003	0.0	-0.0397318672499995	-0.029856	-0.1257240779003224	0.08561917062151475	-0.00040838859537005	0.0338797249999998	0.00190956176313525	0.0133399722516545	0.0	0.0070375926058613	0.00059272611568665	-0.013868517364469951	-0.0151781042500003	0.24909629333064398	-0.01691919500236605	-0.0197165565010895	-0.0225178493745199	0.0213691024999995	-0.01435529297707	0.0263179250232701	-0.030214116706448	-0.4080610000000018	-0.00309726187500025	-0.0316387681563674	0.0291948608978553	-0.0142845760983854	-0.0466319220939048	-0.0186515724179348
ABCB6	-0.1803623748695386	-0.0747712330592915	-0.0619588804591786	-0.0419228455944759	0.0256842187179238	0.0415911270000002	-0.0086020484999993	-0.1566234803465412	0.1269897432975378	-0.0544779924820284	-0.0594992741919906	-0.058918844797134454	-0.040388569	-0.0981609877261838	0.0908024234999978	-0.0549593515289603	-0.0723766542987462	-0.1305037324999993	-0.0717014653541886	0.0	0.0259916273262401	-0.0009808813559524	-0.01672654226670945	-0.0091306101932495	-0.0536322952027523	-0.0615919757999999	-0.0296999999999999	-0.0098302404245506	-0.1415215784999999	-0.0210696439420097	0.1530113914306081	-0.126633438531017	0.0693078624445403	-0.029013607740922702	0.0510470812816139	-0.0050007500000006	0.13640438491372414	0.0101008125646728	0.11712985146991306	0.0208023172179383	-0.0894224630878339	0.1325608696344445	-0.2487235194003703	-0.15343879739932084	-0.0747970000000002	-0.01728805668518245	-0.1308162326943014	-0.1516229771284454	-0.0105151971786554	0.0020767617460935	0.023935855530570448
ABCB7	-0.0779154993131188	-0.0619999999999999	-0.0003379386348352	-0.03055232340372445	-0.0351368194814274	0.01053616084693	-0.042816685	-0.0074793224172351	0.0382119590252953	-0.0107302271165705	-0.0459502011116654	-0.012945149250001897	-0.1131161890060843	-0.12142871106361006	0.0065039999999996	-0.0102064444631793	-0.1068561886590795	-0.00558811425000045	-0.0071217920335331	-0.09877390576605324	0.0244339678207516	-0.01265296672489285	-0.1706283945703983	-0.0700290975335007	0.0323506424999999	-0.0839502874169415	-0.0427100000000013	-0.0364603809590347	-0.029722762995382	0.0013408138727815	-0.1570655961991016	-0.2853404609785932	0.05188555616328	-0.026612547227170297	-0.15808807079177045	0.0416374354130493	-0.311670880748529	-0.1384550000000004	-0.2792596584176419	0.0611285061812001	-0.0313940362237712	0.1193173798169238	-0.11649610967834251	-0.10938931563547394	-0.0746319999999984	-0.0597437732807002	-0.0436947305557037	-0.1470376196756397	-0.0612709493314991	-0.108193664402366	-0.0373341661167545
ABCC1	-0.5102282029838401	0.1755	0.1216409420316466	-0.0074120709067528	0.3503798590043773	-0.020213793499999	0.0029198242499997	-0.0005647174016574501	-0.09065047563938244	-0.0007005600465248	0.1379575645806134	-0.01466446624999925	0.11898143354957239	-0.0415571099029419	-0.000701373861969	-0.02710891695876945	-0.051498619474323146	-0.03288890287499985	0.1077891056534618	-0.11234309752752966	-0.0945205689917596	0.0504586546821387	0.07146151739353945	0.09107876451910349	-0.0117732750000001	0.1122383455822984	0.0499	0.011498485508166798	-0.0595159810363643	-0.0637054620064265	0.01755646972701	0.0172888891958549	-0.0424976383591264	0.0677265871359487	0.16329313170826332	0.1193360334999997	0.0931103503621733	-0.0910862229263447	-0.2087504824137465	0.0072472634469156	0.33771155806223024	0.1559650595974719	0.013535932605105199	-0.08128746287291824	-0.0041221225000001	0.0005585842499999999	0.03809467412382965	-0.0421502088004182	0.0975832874271747	-0.0843844506105995	-0.00514033039396275
ABCC10	0.1221640341448238	-0.2567630482209062	-0.028170001847795	0.1421756202979516	-0.0428652103727147	-0.0341452990000004	-0.0271371355000002	-0.024237737582556602	0.023782716484193698	-0.037494316461065	0.0195347823392966	0.0322682462499996	-0.03052484400802105	-0.16128473569512175	-0.0200854999999986	0.0	-0.0641351650623436	-0.0474464974043802	0.0883364545022684	0.0127401499999999	-0.0740792658527791	-0.00846958689942485	-0.11778510026819311	-0.0504699534402102	0.0100931249999999	-0.08322707484096735	-0.0463102148974545	0.043924693443134946	-0.0449827104999975	-0.07663371904788	0.0182756645025659	-0.2738614363181492	-0.0452379790389668	-0.016281881402564202	0.0821462750499084	0.0013191448666445	0.28840604461439556	0.1725176883992887	-0.0257881652914999	0.1432259255249048	0.028089123208025098	0.0428024977873326	-0.015214907226208451	0.00482074480340925	-0.0121767043543563	-0.0032874811431273503	-0.0150271988017678	0.0966983647622017	-0.0194711319274842	-0.0265312679995135	0.032742370362457404
ABCC3	0.0	0.0	-0.0573567426317538	-0.0229798527150997	-0.1236967678338358	-0.0096831730326307	0.1264429879918318	0.07090609504565701	0.0755657846588964	-0.1442130594773591	0.1992231517651648	-0.00428706549999975	-0.00884787713036105	-0.11046855424697764	0.0435164999999972	-0.0383952227172448	-0.1690994247500006	0.029841579500000652	0.2005787911901795	-0.01468185039628305	0.0055129890183076	-0.01012659370428955	0.0	0.0011547107408507	-0.056944999999999996	0.12137161763589249	-0.00253377045472505	0.0035888232442675	0.009466298151184854	-0.1785984648598146	0.0491568414035104	0.2076913719900188	0.1368915681012497	-0.0371283714119945	0.00723887842236	0.1192599999999997	0.19857169669380986	0.2284641154999969	-0.0190742065243885	0.0835688993436925	0.0180687051634716	0.1385757201678394	-0.07094090215973109	-0.029104245050507	0.0676311856828499	0.036342373374999154	0.0	0.043089621043717	-0.0883293539586294	-0.0031118657952387	-0.0527042927404495
ABCC4	0.5983429739760453	-0.0191723092748459	0.2516904772524597	-0.019816729718215	-0.07230952918035524	0.0488930012500006	0.0169073339999981	0.048285436952189856	0.06405230702480845	-0.0837447961939918	0.0544912639587007	0.022527217374999547	-0.04877633153956745	0.0476975785525932	-0.1076028415000003	-0.1171590233642865	-0.08465926550404876	-0.06938013610180264	0.0376611230581192	0.1028405052487895	0.0232785809443623	-0.123407198871396	0.1899721932960221	-0.012144568718567951	0.0090999999999999	-0.0778441135916354	-0.0106682179155352	-0.03306206060628375	0.0357582524602895	-0.0491655014524203	0.3711832096894167	-0.0433925955133809	0.0130059655347842	-0.00262831150918335	0.05688664354207271	0.1250706210000007	-0.2174563118479828	0.07379748939067696	-0.0291974029317474	0.0130041776872902	0.1707168129577141	-0.0091836624303653	0.02876813445740975	-0.13443339060239085	-0.3026032499999989	-0.0397380746249993	-0.0209547725289238	-0.0791993844103586	0.0510183333161693	-0.0650523069782207	0.037738443245870654
